"rules","support","confidence","coverage","lift","count"
"{citrus fruit,other vegetables} => {root vegetables}",0.0103711235383833,0.359154929577465,0.0288764616166751,3.2950454593231,102
"{other vegetables,tropical fruit} => {root vegetables}",0.0123029994916116,0.342776203966006,0.0358922216573462,3.14477981903514,121
"{beef} => {root vegetables}",0.0173868835790544,0.331395348837209,0.0524656837824098,3.04036684311003,171
"{citrus fruit,root vegetables} => {other vegetables}",0.0103711235383833,0.586206896551724,0.017691916624301,3.02960842227336,102
"{root vegetables,tropical fruit} => {other vegetables}",0.0123029994916116,0.584541062801932,0.0210472801220132,3.0209991343442,121
"{other vegetables,whole milk} => {root vegetables}",0.0231825114387392,0.309782608695652,0.0748347737671581,2.84208204899416,228
"{curd,whole milk} => {yogurt}",0.0100660904931368,0.385214007782101,0.026131164209456,2.76135551496863,99
"{rolls/buns,root vegetables} => {other vegetables}",0.0122013218098627,0.502092050209205,0.0243009659379766,2.59488981282582,120
"{root vegetables,yogurt} => {other vegetables}",0.0129130655821047,0.5,0.0258261311642095,2.58407777193904,127
"{tropical fruit,whole milk} => {yogurt}",0.0151499745805796,0.358173076923077,0.0422979156075241,2.56751618916797,149
"{whipped/sour cream,yogurt} => {other vegetables}",0.0101677681748856,0.490196078431373,0.0207422470767667,2.5334095803324,100
"{other vegetables,whipped/sour cream} => {yogurt}",0.0101677681748856,0.352112676056338,0.0288764616166751,2.52407300948548,100
"{other vegetables,tropical fruit} => {yogurt}",0.0123029994916116,0.342776203966006,0.0358922216573462,2.45714574781754,121
"{root vegetables,whole milk} => {other vegetables}",0.0231825114387392,0.474012474012474,0.0489069649211998,2.44977019543494,228
"{whipped/sour cream,whole milk} => {yogurt}",0.0108795119471276,0.337539432176656,0.0322318251143874,2.4196066439194,107
"{citrus fruit,whole milk} => {yogurt}",0.0102694458566345,0.336666666666667,0.0305033045246568,2.41335034013605,101
"{onions} => {other vegetables}",0.0142348754448399,0.459016393442623,0.0310116929334011,2.37226811850142,140
"{pork,whole milk} => {other vegetables}",0.0101677681748856,0.458715596330275,0.0221657346212506,2.37071355223766,100
"{whipped/sour cream,whole milk} => {other vegetables}",0.0146415861718353,0.454258675078864,0.0322318251143874,2.34767948996355,144
"{curd} => {yogurt}",0.0172852058973055,0.324427480916031,0.0532791052364006,2.32561536064808,170
"{pip fruit,whole milk} => {other vegetables}",0.0135231316725979,0.449324324324324,0.0300965937976614,2.32217799775603,133
"{berries} => {yogurt}",0.010574478901881,0.318042813455657,0.033248601931876,2.27984771890408,104
"{curd,yogurt} => {whole milk}",0.0100660904931368,0.582352941176471,0.0172852058973055,2.27912502048173,99
"{root vegetables} => {other vegetables}",0.047381799694967,0.434701492537313,0.108998474834774,2.2466049285888,466
"{butter,other vegetables} => {whole milk}",0.0114895780376207,0.573604060913706,0.0200305033045247,2.24488497377091,113
"{cream cheese} => {yogurt}",0.0124046771733604,0.312820512820513,0.0396542958820539,2.24241234955521,122
"{root vegetables,tropical fruit} => {whole milk}",0.011997966446365,0.570048309178744,0.0210472801220132,2.23096900945999,118
"{citrus fruit,whole milk} => {other vegetables}",0.0130147432638536,0.426666666666667,0.0305033045246568,2.20507969872132,128
"{root vegetables,yogurt} => {whole milk}",0.0145399084900864,0.562992125984252,0.0258261311642095,2.20335358498015,143
"{tropical fruit,yogurt} => {other vegetables}",0.0123029994916116,0.420138888888889,0.0292831723436706,2.17134312780989,121
"{domestic eggs,other vegetables} => {whole milk}",0.0123029994916116,0.552511415525114,0.0222674123029995,2.16233576270971,121
"{chicken} => {other vegetables}",0.0178952719877987,0.417061611374408,0.0429079816980173,2.15543927896337,176
"{butter,whole milk} => {other vegetables}",0.0114895780376207,0.416974169741697,0.02755465175394,2.15498736700452,113
"{hamburger meat} => {other vegetables}",0.0138281647178444,0.415902140672783,0.033248601931876,2.14944695402881,136
"{domestic eggs,whole milk} => {other vegetables}",0.0123029994916116,0.410169491525424,0.0299949161159126,2.11981973155677,121
"{tropical fruit,whole milk} => {other vegetables}",0.0170818505338078,0.403846153846154,0.0422979156075241,2.08713973887384,168
"{whipped/sour cream} => {other vegetables}",0.0288764616166751,0.402836879432624,0.0716827656329436,2.08192365171827,284
"{whole milk,yogurt} => {other vegetables}",0.0222674123029995,0.397459165154265,0.0560244026436197,2.05413078785717,219
"{whipped/sour cream,yogurt} => {whole milk}",0.0108795119471276,0.524509803921569,0.0207422470767666,2.05274728275711,107
"{rolls/buns,root vegetables} => {whole milk}",0.012709710218607,0.523012552301255,0.0243009659379766,2.04688756541299,125
"{fruit/vegetable juice,whole milk} => {other vegetables}",0.0104728012201322,0.393129770992366,0.0266395526182003,2.03175580541772,103
"{other vegetables,pip fruit} => {whole milk}",0.0135231316725979,0.517509727626459,0.026131164209456,2.02535144098935,133
"{tropical fruit,yogurt} => {whole milk}",0.0151499745805796,0.517361111111111,0.0292831723436706,2.02476980810894,149
"{other vegetables,yogurt} => {whole milk}",0.0222674123029995,0.51288056206089,0.0434163701067616,2.00723451168677,219
"{other vegetables,whipped/sour cream} => {whole milk}",0.0146415861718353,0.507042253521127,0.0288764616166751,1.98438542116207,144
"{fruit/vegetable juice,other vegetables} => {whole milk}",0.0104728012201322,0.497584541062802,0.0210472801220132,1.94737125402016,103
"{butter} => {whole milk}",0.02755465175394,0.497247706422018,0.0554143365531266,1.94605300145665,271
"{beef} => {other vegetables}",0.0197254702592781,0.375968992248062,0.0524656837824098,1.94306623161308,194
"{pork} => {other vegetables}",0.0216573462125064,0.375661375661376,0.0576512455516014,1.94147642124521,213
"{curd} => {whole milk}",0.026131164209456,0.490458015267176,0.0532791052364006,1.91948053328797,257
"{butter milk} => {other vegetables}",0.0103711235383833,0.370909090909091,0.0279613624809354,1.9169158744566,102
"{other vegetables,root vegetables} => {whole milk}",0.0231825114387392,0.489270386266094,0.047381799694967,1.91483257020575,228
"{frozen vegetables} => {other vegetables}",0.0177935943060498,0.369978858350951,0.0480935434672089,1.91210828790416,175
"{butter} => {other vegetables}",0.0200305033045247,0.361467889908257,0.0554143365531266,1.86812227916327,197
"{other vegetables,tropical fruit} => {whole milk}",0.0170818505338078,0.475920679886686,0.0358922216573462,1.86258650484901,168
"{citrus fruit,yogurt} => {whole milk}",0.0102694458566345,0.474178403755869,0.0216573462125064,1.85576784756823,101
"{domestic eggs} => {whole milk}",0.0299949161159126,0.47275641025641,0.0634468734112862,1.85020266409542,295
"{other vegetables,pork} => {whole milk}",0.0101677681748856,0.469483568075117,0.0216573462125064,1.8373939084834,100
"{other vegetables,pastry} => {whole milk}",0.010574478901881,0.468468468468468,0.0225724453482461,1.83342116489749,104
"{domestic eggs} => {other vegetables}",0.0222674123029995,0.350961538461538,0.0634468734112862,1.81382382068798,219
"{citrus fruit} => {other vegetables}",0.0288764616166751,0.348894348894349,0.0827656329435689,1.80314026346606,284
"{soda,whole milk} => {other vegetables}",0.0139298423995933,0.347715736040609,0.0400610066090493,1.79704900891192,137
"{cream cheese} => {other vegetables}",0.0137264870360956,0.346153846153846,0.0396542958820539,1.78897691903472,135
"{pip fruit} => {other vegetables}",0.026131164209456,0.345430107526882,0.0756481952211489,1.78523652523746,257
"{frankfurter} => {rolls/buns}",0.0192170818505338,0.325862068965517,0.0589730554143366,1.77161605764282,189
"{rolls/buns,yogurt} => {whole milk}",0.015556685307575,0.452662721893491,0.0343670564311134,1.77156302022383,153
"{sausage} => {rolls/buns}",0.0306049822064057,0.325757575757576,0.0939501779359431,1.7710479588589,301
"{tropical fruit} => {other vegetables}",0.0358922216573462,0.342054263565891,0.10493136756482,1.7677896385552,353
"{citrus fruit,other vegetables} => {whole milk}",0.0130147432638536,0.450704225352113,0.0288764616166751,1.76389815214406,128
"{whipped/sour cream} => {whole milk}",0.0322318251143874,0.449645390070922,0.0716827656329436,1.75975424247812,317
"{sausage,whole milk} => {other vegetables}",0.0101677681748856,0.340136054421769,0.0298932384341637,1.75787603533268,100
"{root vegetables} => {whole milk}",0.0489069649211998,0.448694029850746,0.108998474834774,1.75603095247994,481
"{rolls/buns,tropical fruit} => {whole milk}",0.0109811896288765,0.446280991735537,0.0246059989832232,1.7465871682129,108
"{margarine} => {other vegetables}",0.0197254702592781,0.336805555555556,0.0585663446873411,1.74066349915338,194
